2017,2018,2019,2020,2021,2022
98.71194444444444,100.29064814814814,105.26324074074074,102.23453703703703,106.2525925925926,103.89175925925926
103.84814814814814,103.23935185185184,104.93222222222224,103.26324074074074,103.69277777777778,104.4563888888889
104.23592592592593,99.32287037037037,99.65166666666666,102.15657407407407,105.39314814814814,105.0237962962963
103.24805555555555,103.80333333333334,103.52046296296297,99.04712962962964,102.46564814814815,104.77101851851852
101.3425,109.60564814814815,103.03990740740741,102.82333333333332,104.97157407407407,106.30972222222222
109.4475,102.87444444444444,104.26907407407407,100.84166666666665,100.75904761904764,105.91020833333333
102.5925,103.36064814814814,101.94851851851851,99.73916666666666,108.5875925925926,105.96879629629629
105.00296296296295,103.98648148148148,103.64074074074074,100.18259259259258,103.89657407407408,102.82018518518518
106.91462962962963,97.4462962962963,104.30175925925926,102.87611111111111,105.11898148148148,103.27685185185186
100.66388888888889,101.86888888888888,101.42342592592593,99.98379629629629,104.3136111111111,103.48527777777778
105.25898148148148,107.01435185185184,100.55287037037039,103.55583333333334,106.26314814814815,103.77101851851852
