region,year,constr,vrp,prod_index,materials,act_dir,cpi
Республика Карелия,2017,98.88,433.43390000000005,,107.2675,16.666666666666668,102.79
Республика Карелия,2017,98.88,433.43390000000005,,107.47416666666668,16.666666666666668,102.79
Республика Карелия,2017,98.88,433.43390000000005,,103.31249999999999,16.666666666666668,102.79
Республика Карелия,2017,98.88,433.43390000000005,,105.71499999999999,16.666666666666668,102.79
Республика Карелия,2017,98.88,433.43390000000005,,108.50250000000001,16.666666666666668,102.79
Республика Карелия,2017,98.88,433.43390000000005,,107.8,16.666666666666668,102.79
Республика Карелия,2017,98.88,433.43390000000005,,106.63083333333331,16.666666666666668,102.79
Республика Карелия,2017,98.88,433.43390000000005,,106.79416666666668,16.666666666666668,102.79
Республика Карелия,2017,98.88,433.43390000000005,,108.73500000000001,16.666666666666668,102.79
Республика Коми,2017,95.42,719.5993000000001,,102.98,16.6675,102.35
Республика Коми,2017,95.42,719.5993000000001,,99.96500000000002,16.6675,102.35
Республика Коми,2017,95.42,719.5993000000001,,100.21749999999997,16.6675,102.35
Республика Коми,2017,95.42,719.5993000000001,,100.21749999999997,16.6675,102.35
Республика Коми,2017,95.42,719.5993000000001,,99.97416666666668,16.6675,102.35
Республика Коми,2017,95.42,719.5993000000001,,100.76416666666667,16.6675,102.35
Республика Коми,2017,95.42,719.5993000000001,,100.85083333333334,16.6675,102.35
Республика Коми,2017,95.42,719.5993000000001,,100.4925,16.6675,102.35
Республика Коми,2017,95.42,719.5993000000001,,100.51333333333334,16.6675,102.35
Архангельская область,2017,102.66,441.9616,,98.49166666666666,16.666666666666668,101.53
Архангельская область,2017,102.66,441.9616,,98.44416666666667,16.666666666666668,101.53
Архангельская область,2017,102.66,441.9616,,98.77416666666666,16.666666666666668,101.53
Архангельская область,2017,102.66,441.9616,,98.53166666666665,16.666666666666668,101.53
Архангельская область,2017,102.66,441.9616,,98.65250000000002,16.666666666666668,101.53
Архангельская область,2017,102.66,441.9616,,98.625,16.666666666666668,101.53
Архангельская область,2017,102.66,441.9616,,98.97166666666668,16.666666666666668,101.53
Архангельская область,2017,102.66,441.9616,,98.85416666666667,16.666666666666668,101.53
Архангельская область,2017,102.66,441.9616,,99.0625,16.666666666666668,101.53
Вологодская область,2017,99.85,459.7775,,103.73333333333335,16.666666666666668,102.2
Вологодская область,2017,99.85,459.7775,,104.48833333333334,16.666666666666668,102.2
Вологодская область,2017,99.85,459.7775,,103.68916666666667,16.666666666666668,102.2
Вологодская область,2017,99.85,459.7775,,103.68916666666667,16.666666666666668,102.2
Вологодская область,2017,99.85,459.7775,,103.99583333333334,16.666666666666668,102.2
Вологодская область,2017,99.85,459.7775,,103.84416666666665,16.666666666666668,102.2
Вологодская область,2017,99.85,459.7775,,103.51416666666665,16.666666666666668,102.2
Вологодская область,2017,99.85,459.7775,,103.665,16.666666666666668,102.2
Вологодская область,2017,99.85,459.7775,,104.01416666666665,16.666666666666668,102.2
Калининградская область,2017,103.03,450.99359999999996,,104.95166666666667,16.669999999999998,102.81
Калининградская область,2017,103.03,450.99359999999996,,104.00333333333334,16.669999999999998,102.81
Калининградская область,2017,103.03,450.99359999999996,,104.88333333333334,16.669999999999998,102.81
Калининградская область,2017,103.03,450.99359999999996,,104.85666666666667,16.669999999999998,102.81
Калининградская область,2017,103.03,450.99359999999996,,104.22749999999998,16.669999999999998,102.81
Калининградская область,2017,103.03,450.99359999999996,,104.12666666666667,16.669999999999998,102.81
Калининградская область,2017,103.03,450.99359999999996,,103.71,16.669999999999998,102.81
Калининградская область,2017,103.03,450.99359999999996,,102.56083333333333,16.669999999999998,102.81
Калининградская область,2017,103.03,450.99359999999996,,104.80333333333334,16.669999999999998,102.81
Ленинградская область,2017,99.67,556.0831,,103.68499999999999,16.666666666666668,102.7
Ленинградская область,2017,99.67,556.0831,,101.70416666666667,16.666666666666668,102.7
Ленинградская область,2017,99.67,556.0831,,107.79249999999998,16.666666666666668,102.7
Ленинградская область,2017,99.67,556.0831,,107.79249999999998,16.666666666666668,102.7
Ленинградская область,2017,99.67,556.0831,,102.47083333333332,16.666666666666668,102.7
Ленинградская область,2017,99.67,556.0831,,102.62916666666666,16.666666666666668,102.7
Ленинградская область,2017,99.67,556.0831,,96.80833333333334,16.666666666666668,102.7
Ленинградская область,2017,99.67,556.0831,,105.53916666666667,16.666666666666668,102.7
Ленинградская область,2017,99.67,556.0831,,100.81083333333333,16.666666666666668,102.7
Новгородская область,2017,100.06,420.289,,102.03416666666665,16.666666666666668,102.4
Новгородская область,2017,100.06,420.289,,102.96499999999999,16.666666666666668,102.4
Новгородская область,2017,100.06,420.289,,102.57833333333336,16.666666666666668,102.4
Новгородская область,2017,100.06,420.289,,102.57833333333336,16.666666666666668,102.4
Новгородская область,2017,100.06,420.289,,102.71083333333333,16.666666666666668,102.4
Новгородская область,2017,100.06,420.289,,102.45999999999998,16.666666666666668,102.4
Новгородская область,2017,100.06,420.289,,102.96750000000002,16.666666666666668,102.4
Новгородская область,2017,100.06,420.289,,102.11083333333335,16.666666666666668,102.4
Новгородская область,2017,100.06,420.289,,102.92750000000001,16.666666666666668,102.4
Псковская область,2017,99.19,259.41470000000004,,104.795,16.6675,102.44
Псковская область,2017,99.19,259.41470000000004,,104.33833333333331,16.6675,102.44
Псковская область,2017,99.19,259.41470000000004,,104.67833333333333,16.6675,102.44
Псковская область,2017,99.19,259.41470000000004,,104.67833333333333,16.6675,102.44
Псковская область,2017,99.19,259.41470000000004,,105.61916666666666,16.6675,102.44
Псковская область,2017,99.19,259.41470000000004,,104.98833333333334,16.6675,102.44
