region,2017,2018,2019,2020,2021,2022
            Архангельская область (кроме Ненецкого автономного округа),91.62,100.44,101.68,100.24,99.93,100.96
            Архангельская область (кроме Ненецкого автономного округа),91.93,100.47,101.37,100.11,100.82,100.68
            Архангельская область (кроме Ненецкого автономного округа),91.35,100.49,101.25,100.18,100.87,100.75
            Архангельская область (кроме Ненецкого автономного округа),91.52,100.53,101.15,100.18,100.71,100.76
            Архангельская область (кроме Ненецкого автономного округа),91.35,100.5,101.08,100.22,100.65,100.78
            Архангельская область (кроме Ненецкого автономного округа),92.14,100.36,101.62,100.11,100.77,100.78
            Архангельская область (кроме Ненецкого автономного округа),91.57,100.58,101.04,100.64,100.71,100.77
            Архангельская область (кроме Ненецкого автономного округа),91.56,100.48,101.4,100.17,100.36,100.67
        Вологодская область,100.07,100.68,100.91,100.7,99.75,100.14
        Вологодская область,100.1,100.68,101.32,100.89,99.96,100.42
        Вологодская область,100.06,100.63,101.0,100.77,99.9,100.19
        Вологодская область,100.05,100.7,101.03,100.79,99.75,100.27
        Вологодская область,100.06,100.77,101.14,100.72,98.58,100.05
        Вологодская область,100.04,100.62,101.02,100.71,99.96,100.29
        Вологодская область,100.03,100.7,100.58,100.58,99.89,99.99
        Вологодская область,100.14,100.63,100.9,100.56,100.28,100.42
        Вологодская область,100.07,100.82,101.08,100.88,100.08,100.01
        Вологодская область,100.02,100.67,101.36,100.81,100.1,100.09
        Вологодская область,100.04,100.81,100.87,100.66,99.78,100.23
        Вологодская область,100.04,100.81,100.92,100.6,100.04,100.93
        Вологодская область,100.02,100.52,101.11,100.36,100.43,100.17
        Вологодская область,,100.71,100.9,100.64,100.28,100.11
        Вологодская область,100.01,100.77,101.13,100.83,99.95,100.05
        Вологодская область,100.0,100.79,101.28,100.96,99.69,100.11
        Вологодская область,100.01,101.09,101.13,100.64,100.09,100.01
        Вологодская область,100.03,100.85,101.2,100.94,100.01,100.24
        Вологодская область,100.02,100.67,101.02,100.52,100.05,100.12
        Калининградская область,101.25,101.01,99.55,99.76,100.56,100.69
        Калининградская область,101.58,100.93,101.08,100.58,100.7,100.62
        Калининградская область,101.19,101.0,99.64,99.81,100.66,100.62
        Калининградская область,101.27,101.12,99.76,99.85,100.77,100.75
        Калининградская область,101.57,101.15,99.62,99.63,100.4,100.51
        Калининградская область,101.07,100.98,99.94,100.19,100.67,100.48
        Калининградская область,101.15,101.03,99.73,99.79,100.59,100.62
        Калининградская область,100.88,101.14,99.84,99.7,100.91,100.64
        Калининградская область,101.69,100.96,99.61,99.71,100.77,100.37
        Калининградская область,101.74,101.13,99.87,99.61,100.99,100.47
        Калининградская область,101.63,100.97,99.66,99.85,100.22,100.51
        Калининградская область,101.63,100.97,99.67,99.85,100.23,100.51
